id_empresa;cod_empresa;empresa
1;1;1 - TELESIL ENGENHARIA LTDA
2;10;10 - TELESIL ENGENHARIA LTDA - COND GRAND PATIO CLUBE RESID II
3;11;11 - TELESIL ENGENHARIA LTDA - RESIDENCIAL JARDIM SAO GONÇALO
4;12;12 - TELESIL ENGENHARIA LTDA - RESIDENCIAL PORTO GRANDE I
5;13;13 - TELESIL ENGENHARIA LTDA - RESIDENCIAL COSTA AZUL
6;14;14 - TELESIL ENGENHARIA LTDA - RESIDENCIAL PORTO GRANDE II
7;17;17 - DET EMPREENDIMENTO IMOBILIARIO SPE LTDA
8;18;18 - TELESIL ENGENHARIA - STELLA MARIS RESIDENCE
9;19;19 - ENTREMARES EMPREENDIMENTO IMOBILIARIO SPE LTDA - SCP 01
10;20;20 - TELESIL ENGENHARIA LTDA - RESERVA DAS AGUAS
11;21;21 - TELESIL ENGENHARIA LTDA - RESIDENCIAL RESERVA DAS ARVORES
12;22;22 - TELESIL ENGENHARIA LTDA - RESERVA DOS PASSAROS
13;23;23 - BOX STUDIO EMPREENDIMENTO IMOBILIARIO SPE LTDA
14;24;24 - TELESIL ENGENHARIA LTDA - GRAND RESERVA
15;26;26 - CONSORCIO CMEIS 12 UNIDADES
16;27;27 - CONSORCIO PMCMV MARECHAL
17;28;28 - GRAND PALAZZO EMPREENDIMENTO IMOBILIARIO SPE LTDA
18;29;29 - SITGES EMPREENDIMENTO IMOBILIARIO SPE LTDA
19;3;3 - TELESIL PROJETO 01 EMPREENDIMENTO IMOBILIARIO SPE LTDA
20;30;30 - SUNRISE EMPREENDIMENTO IMOBILIARIO SPE LTDA
21;31;31 - CONSORCIO MERCADOS BENEDITO BENTES E JACINTNHO
22;32;32 - CONDOMINIO RESERVA DO PRATA EMPREENDIMENTO IMOBILIARIO SPE LTDA
23;33;33 - EDIFICIO EMPRESARIAL LINK OFFICE
24;34;34 - CONDOMINIO PRAIA DOS CORAIS EMPREENDIMENTO IMOBILIARIO SPE LTDA
25;35;35 - CONDOMÍNIO RESERVA DO BOSQUE EMPREENDIMENTO IMOBILIÁRIO SPE LTDA.
26;36;36 - CONDOMINIO RESERVA DO CAJUEIRO EMPREENDIMENTO IMOBILIARIO SPE LTDA
27;37;37 - TELESIL ENGENHARIA LTDA - FILIAL SUL
28;38;38 - CONDOMÍNIO RESERVA ALDEPRIME EMPREENDIMENTO IMOBILIÁRIO SPE LTDA
29;39;39 - RESIDENCIAL J. LAGES 832 EMPREENDIMENTO IMOBILIARIO SPE LTDA
30;41;41 - CONSORCIO LAGOA DO OURO
31;42;42 - CONDOMINIO M. CAMPELO EMPREENDIMENTO IMOBILIARIO SPE LTDA
32;46;46 - CONSORCIO CRECHES PERNAMBUCO/2024
33;48;48 - CONDOMINIO N. PEDROSA EMPREENDIMENTO IMOBILIARIO SPE LTDA
34;51;51 - RESIDENCIAL C. ALBUQUERQUE EMPREENDIMENTO IMOBILIARIO SPE LTDA
35;52;52 - GRAND DIAMOND EMPREENDIMENTO IMOBILIARIO SPE LTDA
36;53;53 - CONDOMINIO G. LEAO EMPREENDIMENTO IMOBILIARIO SPE LTDA
37;54;54 - CONDOMINIO A. VASCONCELOS EMPREENDIMENTO IMOBILIARIO SPE LTDA
38;61;61 - IMPERIAL EMPREENDIMENTO IMOBILIARIO SPE LTDA
39;63;63 - 102 J MELO EMPREENDIMENTO IMOBILIARIO SPE LTDA
40;64;64 - SIQUEIRA CAMPOS EMPREENDIMENTO IMOBILIARIO SPE LTDA
41;66;66 - CONDOMINIO JABOTIANA EMPREENDIMENTO IMOBILIARIO SPE LTDA
42;67;67 - CONSORCIO NOVA SEDE ALE/AL
43;7;7 - TELESIL ENGENHARIA LTDA - FILIAL RESID PARQUE GONC LEDO
44;9;9 - TELESIL ENGENHARIA LTDA - GRAND PATIO CLUB RESIDENCE I
