Obra;cod_obra
100 - LAGOON CLUB RESIDENCE;100 
102 - RESERVA DOS PASSAROS - OBRA;102 
105 - STELLA MARIS RESIDENCE - OBRA;105 
111 - IMPLANTACAO DO SISTEMA DE ESGOTAMENTO SANITARIO DO MUNICIPIO DE MARAGOGI;111 
112 - BOX STUDIO - OBRA;112 
113 - GRAND RESERVA - MODULO I - OBRA;113 
1175 - RESIDENCIAL MORADA DO TAQUARI - INCORPORAÇÃO;1175 
120 - CONDOMINIO RESERVA GOLDEN - OBRA;120 
125 - EDIFICIO DOM ANTONIO - OBRA;125 
129 - RESIDENCIAL VANETE ALMEIDA;129 
130 - EDIFICIO SITGES - OBRA;130 
138 - GRAND PLATINUM - OBRA;138 
140 - GRAND PALAZZO - OBRA;140 
143 - COMPLEXO ESPORTIVO MARECHAL DEODORO;143 
146 - RESIDENCIAL ROSA DA FONSECA I;146 
147 - RESIDENCIAL MANOEL ALVES DE FRANÇA I;147 
148 - CMEIS - MACEIÓ;148 
1483 - CMEIS - MACEIO I (ANTIGO JARDIM ROYAL);1483 
1484 - CMEIS - PARQUE PETRÓPOLIS;1484 
1485 - CMEIS - MORADA DO PLANALTO;1485 
1486 - CMEIS - OITICICA;1486 
154 - CONSORCIO MERCADOS BENEDITO BENTES;154 
156 - EUSTAQUIO TOLEDO - CONST. DO PREDIO ADM. E REF. DO COND. INDUS.;156 
157 - PAVIMENTAÇÃO E DRENAGEM DE VIAS DA PRAIA DO FRANCES;157 
158 - CONDOMINIO RESERVA DO BOSQUE - OBRA;158 
162 - RESIDENCIAL RENASCER - OBRA;162 
173 - RESIDENCIAL NOVO CRUZEIRO I;173 
175 - RESIDENCIAL MORADA DO TAQUARI - OBRA;175 
1801 - CONSÓRCIO CRECHES PERNAMBUCO LOTE 01 - OBRA;1801 
1803 - CONSÓRCIO CRECHES PERNAMBUCO LOTE 03 - OBRA;1803 
1804 - CONSÓRCIO CRECHES PERNAMBUCO LOTE 04 - OBRA;1804 
1805 - CONSÓRCIO CRECHES PERNAMBUCO LOTE 05 - OBRA;1805 
1806 - CONSÓRCIO CRECHES PERNAMBUCO LOTE 06 - OBRA;1806 
1807 - CONSÓRCIO CRECHES PERNAMBUCO LOTE 07 - OBRA;1807 
1808 - CONSÓRCIO CRECHES PERNAMBUCO LOTE 08 - OBRA;1808 
224 - NOVA SEDE DA ASSEMBLEIA LEGISLATIVA DE ALAGOAS;224 
23 - ESCRITORIO CENTRAL;23 
45 - MILAGRES BEACH RESIDENCE;45 
58 - SISTEMA DE ABASTECIMENTO D'ÁGUA DA BACIA LEITEIRA;58 
66 - ASSISTENCIA TECNICA;66 
83 - GRAND PATIO CLUB RESIDENCE I - OBRA;83 
89 - VILAS DO MUNDAU;89 
